,sentence,index,words,type,hindi_sentence,hindi_words
10,i hope this coon ref makes a wrong turn into a russian ghetto and gets shanked he clearly hates white people or maybe just denmark,3174,i hope this coon ref makes a wrong turn into a russian ghetto and gets shanked he clearly hates white people or maybe just denmark,train,मुझे उम्मीद है कि यह coon Ref एक रूसी यहूदी बस्ती में गलत मोड़ देता है और वह झटका देता है कि वह स्पष्ट रूप से गोरे लोगों से नफरत करता है या शायद सिर्फ डेनमार्क,मुझे उम्मीद है कि यह coon Ref एक रूसी यहूदी बस्ती में गलत मोड़ देता है और वह झटका देता है कि वह स्पष्ट रूप से गोरे लोगों से नफरत करता है या शायद सिर्फ डेनमार्क
11,on the gathering storm comes a posh retarded man in a semen marked suit with his currency plans,11578,,train,सभा के तूफान पर अपनी मुद्रा योजनाओं के साथ एक वीर्य चिह्नित सूट में एक पॉश मंद व्यक्ति आता है,#VALUE!
12,i try to give black owned businesses a chance i really do but you niggers love playing with people,13103,niggers love playing with people,train,"मैं काले स्वामित्व वाले व्यवसायों को एक मौका देने की कोशिश करता हूं जो मैं वास्तव में करता हूं, लेकिन आप लोगों के साथ खेलना पसंद करते हैं",निगर लोगों के साथ खेलना पसंद करते हैं
13,outside dc fundraiser heckler asked huma if muslim brotherhood was going to pay her legal bills,13408,,train,डीसी के फंडराइज़र हेकलर ने हुमा से पूछा कि क्या मुस्लिम ब्रदरहुड अपने कानूनी बिलों का भुगतान करने जा रहा है,#VALUE!
14,made a joke to my gf about stealing fancy jewelry for my wife and she about lost her shit all her gay marbles,7275,,train,मेरी पत्नी के लिए फैंसी गहने चुराने के बारे में मेरे gf के लिए एक मजाक बनाया और उसने अपने सभी समलैंगिक मार्बल्स को खो दिया,#VALUE!
15,the addendum is that if a woman says so she fucking every nigger she sees,13025,she fucking every nigger,train,परिशिष्ट यह है कि अगर एक महिला कहती है तो वह हर निगर को देखती है,वह हर निगर को कमबख्त करती है
16,<user> <user> <user> <user> <user> <user> <user> the consequences of not recognizing when you are being duped and biologically raped are dire we are one of the sickest nations overall because people are stupid and gullable do not be stupid make an informed decision ask for the insert,9081,,train,"<उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> जब आपको धोखा दिया जा रहा हो और जैविक रूप से बलात्कार करने के परिणामों को पहचानने के परिणाम गंभीर हैं, तो हम समग्र रूप से सबसे बीमार राष्ट्रों में से एक हैं क्योंकि लोग बेवकूफ और भोला होते हैं। बेवकूफ मत बनो एक सूचित निर्णय लेने के लिए पूछें",#VALUE!
17,well well niggers and beaners are murderous animals who da thunk it,14811,niggers beaners animals who da,train,अच्छी तरह से निगर और बीनर्स जानलेवा जानवर हैं जो इसे थंक करते हैं,niggers beaners जानवर जो दा
18,my guess is he a boomer that believes america is some sorta proposition nation but seriously i doubt bill or tom would argue how blacks could be successful too but only if they were oppressed like the jew oh,13206,boomer proposition nation blacks only if they were oppressed like the jew,train,"मेरा अनुमान है कि वह एक बूमर है जो मानता है कि अमेरिका कुछ प्रकार का प्रस्ताव राष्ट्र है, लेकिन गंभीरता से मुझे संदेह है","बूमर प्रस्ताव राष्ट्र अश्वेतों को तभी अश्वेतों के रूप में करते थे, जब वे यहूदी की तरह उत्पीड़ित होते थे"
19,the good thing about the nazi dumbasses is they hold their national convention in a phone booth for you young dumbass nazis that a little bitty space i have heard you can get <number> people in one,9621,the good thing about the nazi dumbasses is they hold their national convention in a phone booth for you young dumbass nazis that a little bitty space i have heard you can get <number> people in one,train,नाजी डंबस के बारे में अच्छी बात यह है,नाजी डंबस के बारे में अच्छी बात यह है
20,italian leftist communist unelected and terrorist government is about to give away italian citizenship to every illegal immigrant in italy but other eu countries are not happy because scores of african and arab thugs would also automatically become european citizens d d d,8862,italian leftist communist unelected and terrorist government is about to give away italian citizenship to every illegal immigrant in italy but other eu countries are not happy because scores of african and arab thugs would also automatically become european citizens,train,"इतालवी वामपंथी कम्युनिस्ट असंबद्ध और आतंकवादी सरकार इटली में हर अवैध आप्रवासी को इतालवी नागरिकता देने वाली है, लेकिन यूरोपीय संघ के अन्य देश खुश नहीं हैं क्योंकि अफ्रीकी और अरब ठगों के स्कोर भी स्वचालित रूप से यूरोपीय नागरिक बन जाएंगे।","इतालवी वामपंथी कम्युनिस्ट और आतंकवादी सरकार इटली में हर अवैध आप्रवासी को इतालवी नागरिकता देने वाली है, लेकिन यूरोपीय संघ के अन्य देश खुश नहीं हैं क्योंकि अफ्रीकी और अरब ठगों के स्कोर भी स्वचालित रूप से यूरोपीय नागरिक बन जाएंगे"
21,<user> i rly enjoying this gay moment of urs,396,,train,<उपयोगकर्ता> मैं urs के इस समलैंगिक क्षण का आनंद ले रहा हूं,#VALUE!
22,major advertisers pull ads from o reilly factor after harassment report hotpagenews com r <number>,2281,,train,प्रमुख विज्ञापनदाता उत्पीड़न रिपोर्ट के बाद ओ रेली फैक्टर से विज्ञापन खींचते हैं।,#VALUE!
23,<user> ok let me know when you find a nazi,2055,nazi,train,<उपयोगकर्ता> ठीक है मुझे पता है जब आप एक नाजी पाते हैं,नाजी
24,precisely even the japanese were forced into becoming the aggressors by hymie oil and manufacturing monopolies,13020,hymie,train,सटीक रूप से भी जापानी को हाइमी तेल और विनिर्माण एकाधिकार द्वारा आक्रामक बनने के लिए मजबूर किया गया था,हाइमी
25,studies show non whites view freedom completely different than whites for example <number> of hispanics view hate speech as an act of violence which means they would ban it their view of hate speech could be anything wake up your family and friends,13614,,train,"अध्ययन से पता चलता है कि गैर -गोरे लोग स्वतंत्रता को गोरों की तुलना में पूरी तरह से अलग देखते हैं <नंबर> हिस्पैनिक्स के नफरत के भाषण को हिंसा के एक कार्य के रूप में देखें, जिसका अर्थ है कि वे इसे प्रतिबंधित करेंगे कि अभद्र भाषा के बारे में उनका दृष्टिकोण आपके परिवार और दोस्तों को जगा सकता है",#VALUE!
26,black man kills a white child in a rap video nothing actually happens white man says nigger on a youtube video advertisers lose their minds and shoah him from the internet,9437,nigger,train,ब्लैक मैन एक श्वेत बच्चे को मारता है एक रैप वीडियो में कुछ भी नहीं होता है वास्तव में व्हाइट मैन का कहना है कि एक YouTube वीडियो विज्ञापनदाताओं पर निगर अपना दिमाग खो देता है और उसे इंटरनेट से शोह,चाकलेट का रंग
27,<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,13661,smelly kike the world awaits his lynching,train,"<user> देखते हैं कि वे बदबूदार Kike को क्या करेंगे, जिन्होंने उस ट्वीट की रचना की और जिसका नाम इस तस्वीर में दिखाई देता है कि दुनिया ने अपने लिंचिंग का इंतजार किया है",Smelly kike दुनिया अपने लिंचिंग का इंतजार कर रही है
28,it definitely shows at berkeley and the other campus violence events they can not even speak correctly or get their thoughts out without someone holding their hand bunch of children in adult bodies wasting space and time and not using their souls correctly,8420,they can not even speak correctly or get their thoughts out without someone holding their hand bunch of children in adult bodies wasting space and time,train,"यह निश्चित रूप से बर्कले और अन्य कैंपस हिंसा की घटनाओं में दिखाता है कि वे सही ढंग से बोल नहीं सकते हैं या अपने विचारों को प्राप्त नहीं कर सकते हैं, बिना किसी ने वयस्क निकायों में अपने हाथों को पकड़े बिना अंतरिक्ष और समय बर्बाद कर सकते हैं और उनकी आत्माओं को सही ढंग से उपयोग नहीं करते हैं","वे सही तरीके से बोल भी नहीं सकते हैं या अपने विचारों को बाहर निकाल सकते हैं, बिना किसी ने वयस्क निकायों में अपने हाथों को पकड़े बिना अंतरिक्ष और समय बर्बाद कर सकते हैं"
29,so about trump taxes and rachel maddow somthing i found on <number> pol anonymous <date> tue <time> no <number> dumb dyke dumb kike dumb dykekike,2833,dumb dyke dumb kike dumb dykekike,train,तो ट्रम्प टैक्स और राहेल मैडवॉ के बारे में मैं <नंबर> पोल बेनामी <तिथि> tue <समय> नहीं <nument> गूंगा dyke dumb kike dubkkike पर पाया,गूंगा डंबल डंब काइक डंब डाइकेकिक
30,domestic violence is domestic violence regardless of the sex involved johnny depp,736,,train,"घरेलू हिंसा घरेलू हिंसा है, भले ही सेक्स में जॉनी डेप शामिल हो",#VALUE!
31,sometimes being a bitch is all a womans got left dolores claiborne best movie line ever,9433,,train,कभी -कभी एक कुतिया होने के नाते सभी एक महिला को छोड़ दिया जाता है डोलोरेस क्लेबोर्न बेस्ट मूवी लाइन,#VALUE!
32,<user> <user> maybe they should not support racist homophobic islamophobic 🐷 🐷,2531,,train,<उपयोगकर्ता> <उपयोगकर्ता> शायद उन्हें नस्लवादी होमोफोबिक इस्लामोफोबिक का समर्थन नहीं करना चाहिए।,#VALUE!
33,my <number> year old aunt got banned from facebook for posting stuff about islam and posative things about trump aussies for trump,5901,,train,मेरी <नंबर> वर्ष की पुरानी चाची को इस्लाम के बारे में सामान पोस्ट करने और ट्रम्प के लिए ट्रम्प ऑस्ट्रेलियाई लोगों के बारे में सकारात्मक बातें करने के लिए फेसबुक से प्रतिबंधित हो गया,#VALUE!
34,one would have to be a total fucking retard to fit a statement in <number> characters this is why twitter has become a melanized ghetto,14366,fucking retard melanized ghetto,train,"एक बयान में एक बयान फिट करने के लिए एक कुल कमबख्त मंदबुद्धि होना चाहिए, यह क्यों ट्विटर एक मेलेनलाइज्ड यहूदी बस्ती बन गया है",कमबख्त मंदबुद्धि मेलान्ड यहूदी बस्ती
35,read your own bio retard,2654,retard,train,अपने खुद के जैव मंदबुद्धि पढ़ें,काम करना
36,ohoho why all the ghetto talk when you get a spell check english is my second language and i speak <number> <number> in all,11434,all the ghetto talk when you get a spell check english is my second language and i speak <number> <number> in all,train,ओहो क्यों सभी यहूदी बस्ती बात करते हैं जब आपको एक वर्तनी चेक अंग्रेजी मिलती है तो मेरी दूसरी भाषा है और मैं सभी में <नंबर> <नंबर> बोलता हूं,जब आप एक वर्तनी चेक अंग्रेजी प्राप्त करते हैं तो सभी यहूदी बस्ती मेरी दूसरी भाषा होती है और मैं सभी में <नंबर> <नंबर> बोलता हूं
37,this person is obviously a cianiggrr admits race mixed and calling me a kike yet i am fully white my husband is white and our kiddos are white and making fun of me for having cancer thots begone,8590,cianiggrr kike,train,यह व्यक्ति स्पष्ट रूप से एक cianiggrr दौड़ मिश्रित मानता है और मुझे एक kike कहा जाता है फिर भी मैं पूरी तरह से सफेद हूँ मेरे पति सफेद हैं और हमारे किडोस सफेद हैं और कैंसर के लिए मेरा मजाक उड़ा रहे हैं,Cianiggrr Kike
38,dunno as long as we kept it strictly to drowning nigger babies,10553,drowning nigger babies,train,जब तक हम इसे डूबने वाले निगर शिशुओं को डूबने के लिए सख्ती से रखते थे,डूबना निगर शिशुओं को
39,every black men women and children in america should want this women dead lifetime membership in the kk mohammedan obama and hillary treated blacks worse than black muslim slavers ever have done for <number> yrs,11864,,train,अमेरिका में हर अश्वेत पुरुष महिलाओं और बच्चों को चाहते हैं कि केके मोहम्मडन ओबामा और हिलेरी में इस महिला को मृत जीवन भर की सदस्यता दी गई।,#VALUE!
40,cristina laila retweeted jake tapper i guess all of obama ghetto rap star friends are better you know the guys who rap about raping pimping women selling drugs fakenews jake tapper ‏ potus invited sarahpalinusa to dinner and told her to bring some friends,9370,guess all obama ghetto rap star friends are better rap about raping pimping women selling drugs,train,"क्रिस्टीना लैला ने जेक टेपर को रीट्वीट किया, मुझे लगता है कि ओबामा गेटो रैप स्टार के सभी दोस्त बेहतर हैं, आप जानते हैं कि आप उन लोगों को जानते हैं, जो ड्रग्स बेचने वाली महिलाओं के साथ बलात्कार करने के बारे में रैप करते हैं।",लगता है कि सभी ओबामा गेटो रैप स्टार दोस्त ड्रग्स बेचने वाली महिलाओं के साथ बलात्कार करने के बारे में बेहतर रैप हैं
41,<user> enough of ur communal secular rhetorics yes india will welcome every refugee except muslims bcz we have already given them a seperate nation on basis of religion why do they want to live in india after being allotted an entire nation as demanded by them fr muslims,8402,,train,<user> उर सांप्रदायिक धर्मनिरपेक्ष बयानबाजी के पर्याप्त हाँ भारत मुस्लिमों के अलावा हर शरणार्थी का स्वागत करेगा,#VALUE!
42,so i can not do research on a topic kiddo is that what you are saying are you saying the internet does not exist scientific journals do not exist you are a retard on the level of trig palin timmy kill yourself,4623,you are a retard on the level of trig palin timmy kill yourself,train,इसलिए मैं किसी विषय पर शोध नहीं कर सकता कि किडो यह है कि आप जो कह रहे हैं वह आप कह रहे हैं कि इंटरनेट मौजूद नहीं है वैज्ञानिक पत्रिकाएं मौजूद नहीं हैं,आप ट्रिग पॉलिन टिम्मी के स्तर पर एक मंदबुद्धि हैं
43,and i loveez dee poontang djd i beez buyin dat snatch on 4 th st fo <number> an <number> fo sum haid dat beez nigger poon do ya wan what poona gonna beez runnin ya <number> an dat beez wit a rubba,7361,poontang buyin dat snatch nigger poon poona,train,और मैं loveez dee poontang djd i beez buyin dat स्नैच ऑन 4 th st fo <nument> a <nument> fo sum haid dat beez nigger poon ya wan what pooona beez runnin ya <nurate> a dat beez wit a subba,POONTANG BUYIN DAT SNATCH NIGGER POON POONA
44,she entitled to her opinion just like i am entitled to think that two digit iq ghetto trash should not be able to sit in congress no matter how gerry curl mandered a district might be,3516,she entitled to her opinion just like i am entitled to think that two digit iq ghetto trash should not be able to sit in congress no matter how gerry curl mandered a district might be,train,"वह अपनी राय की हकदार हैं जैसे मैं यह सोचने का हकदार हूं कि दो अंकों के आईक्यू यहूदी बस्ती कचरा कांग्रेस में नहीं बैठने में सक्षम नहीं होना चाहिए, चाहे कोई फर्क नहीं पड़ता कि गेरी कर्ल एक जिला हो सकता है","वह अपनी राय की हकदार हैं जैसे मैं यह सोचने का हकदार हूं कि दो अंकों के आईक्यू यहूदी बस्ती कचरा कांग्रेस में नहीं बैठने में सक्षम नहीं होना चाहिए, चाहे कोई फर्क नहीं पड़ता कि गेरी कर्ल एक जिला हो सकता है"
45,active kindly follow whoever likes and retweets this post 🐐,9100,,train,सक्रिय रूप से इस पोस्ट को पसंद करता है और इसे रीट्वीट करता है,#VALUE!
46,<user> <user> israeli jews should unilaterally withdraw to being the <number> of the uae witout citizenship then arabs woulf be free,337,israeli jews should unilaterally withdraw,train,"<उपयोगकर्ता> <उपयोगकर्ता> इज़राइली यहूदियों को एकतरफा रूप से यूएई विटाउट नागरिकता के <nument> होने के लिए वापस लेना चाहिए, फिर अरबों woulf मुक्त होना चाहिए",इजरायली यहूदियों को एकतरफा वापस लेना चाहिए
47,i do like how you call out everyone that does stuff irl as spergs and claim i am either a kike or a nigger simply because i told you that people who are here to stir up shit with everyone else in the movement only work to support the kikes,3166,spergs kike or a nigger kikes,train,"मुझे पसंद है कि आप हर किसी को कैसे कहते हैं जो आईआरएल को स्पर्ग के रूप में सामान देता है और दावा करता है कि मैं या तो एक काइक हूं या एक निगर हूं क्योंकि मैंने आपको बताया था कि जो लोग यहां हैं, वे हर किसी के साथ हिलाकर आंदोलन में हैं।",स्पर्ग्स काइक या एक निगर किक
48,<user> <user> wait that not possible nvm i am retarded,3956,,train,<उपयोगकर्ता> <उपयोगकर्ता> प्रतीक्षा करें कि संभव नहीं है कि मैं मंदबुद्धि हूं,#VALUE!
49,i do not understand why these nigger biches ain t been banned yet or at least put in a zoo smdh,13188,nigger biches put in a zoo,train,मुझे समझ नहीं आ रहा है,निगर बिच एक चिड़ियाघर में डाल दिया
50,marvel or dc tried this with their superheroes created sjw feminazi characters and it was a complete bomb they canned the project it seems sjw feminazis did not purchase them anyone else with <number> <number> a brain would not touch them,6104,created sjw feminazi characters it seems sjw feminazis did not purchase them anyone else with <number> <number> a brain would not touch them,train,"मार्वल या डीसी ने अपने सुपरहीरो के साथ SJW फेमिनाज़ी पात्रों के साथ यह कोशिश की और यह एक पूर्ण बम था, उन्होंने इस परियोजना को डिब्बाबंद किया, ऐसा लगता है कि SJW फेमिनाज़िस ने उन्हें किसी और को नहीं खरीदा है",SJW Feminazi वर्ण बनाए गए हैं ऐसा लगता है कि SJW Feminazis ने उन्हें किसी और को नहीं खरीदा है
51,i fell for the great white hope rhetoric my bad he better than obama and bush et all idgaf still a slimy politician piece of shit also dgaf about muzzies and kikes i do not want american lives or dollars spent on any of those fucking parasites,8091,great white hope muzzies kikes,train,"मैं महान व्हाइट होप के लिए गिर गया, मेरी बुरी तरह से वह ओबामा से बेहतर है और बुश एट सभी इदगाफ अभी भी एक घिनौने राजनेता के टुकड़े को भी गंदगी के बारे में बताते हैं कि मैं नहीं चाहता कि मैं अमेरिकी जीवन या डॉलर नहीं चाहता, जो उन लोगों में से किसी पर भी खर्च किया गया है।",महान सफेद आशा muzies kikes
52,what up faggots,12115,,train,क्या फगोट्स,#VALUE!
53,gay furry sex games egg whites for facial wrinkles bully breeding my mom porn gif,6387,gay furry sex games facial wrinkles bully breeding my mom porn,train,चेहरे की झुर्रियों के लिए समलैंगिक प्यारे सेक्स खेल अंडे की सफेदी मेरी माँ अश्लील gif प्रजनन,समलैंगिक प्यारे सेक्स खेल चेहरे की झुर्रियाँ बुली मेरी माँ अश्लील प्रजनन
54,be armed and avoid travel in cities we can never take the nigger out of the nigger chicago baltimore detroit should be no go zones and let them all kill each other hope the <percent> of good blacks move first,12829,nigger out of the nigger all kill each other <percent> of good blacks,train,"सशस्त्र बनें और शहरों में यात्रा से बचें हम कभी भी निगर को निगर से बाहर निकाल नहीं सकते हैं शिकागो बाल्टीमोर डेट्रायट को कोई गो ज़ोन नहीं होना चाहिए और उन सभी को एक दूसरे को मारने दें, उम्मीद है कि अच्छे अश्वेतों का प्रतिशत पहले [प्रतिशत> पहले आगे बढ़ें",निगर से बाहर निकल सभी एक दूसरे को मारते हैं <प्रतिशत> अच्छे अश्वेतों के
55,what does everyone think about tommyrobinson being moved to a majority muslim prison,13528,,train,टॉमिरोबिन्सन के बारे में हर कोई क्या सोचता है कि एक बहुसंख्यक मुस्लिम जेल में ले जाया जाता है,#VALUE!
56,<user> there r <number> muslim countries how many countries for hindus sikh jain buddhist more than <number> million refugees we have and we already accepted <number> million so cut ur crap and please ask some muslim countries too to take there responsibility as muslim nation,14751,,train,<user> वहाँ r <nurm> मुस्लिम देश हिंदुओं सिख जैन बौद्ध के लिए कितने देशों से अधिक <नंबर> मिलियन शरणार्थियों से अधिक हैं और हमने पहले से ही स्वीकार कर लिया है <nument> मिलियन तो उर बकवास में कटौती करें और कृपया कुछ मुस्लिम देशों से भी जिम्मेदारी लेने के लिए कहें मुस्लिम राष्ट्र के रूप में,#VALUE!
57,does anyone know what actual asians i mean the oriental types think about all of the persians and arabs being called asians by most of europe media does it piss them off as much as it does the rest of us or even more,10987,,train,"क्या किसी को पता है कि वास्तविक एशियाई लोगों का मतलब है कि ओरिएंटल प्रकार सभी फारसियों और अरबों के बारे में सोचते हैं, जिन्हें यूरोप के अधिकांश मीडिया द्वारा एशियाई कहा जाता है, यह उन्हें उतना ही परेशान करता है जितना कि यह हम में से बाकी या इससे भी अधिक करता है",#VALUE!
58,oh you mean these guys all jews vox said no jews are globalists is vox lying,11231,jews vox said no jews are globalists is vox lying,train,"ओह, आप इन लोगों का मतलब है कि सभी यहूदियों ने कहा कि कोई भी यहूदी वैश्विक नहीं हैं, वोक्स झूठ बोल रहा है",यहूदी वोक्स ने कहा कि कोई भी यहूदी वैश्विक नहीं हैं वोक्स झूठ बोल रहे हैं
59,swedish girls are so nice i hope they can stop the muslim scum flowing into their country,5258,muslim scum flowing,train,स्वीडिश लड़कियां इतनी अच्छी हैं कि मुझे आशा है कि वे अपने देश में बहने वाले मुस्लिम मैल को रोक सकते हैं,मुस्लिम स्कम बहते हुए
60,these belgians are giving up like they did to nazi germany back in ww2,3633,,train,ये बेल्जियम जैसे कि वे नाजी जर्मनी को WW2 में वापस दे रहे हैं,#VALUE!
61,<user> ah so we should just ignore nazis marching in the street,1584,,train,<उपयोगकर्ता> आह इसलिए हमें सड़क पर नाज़ियों को नजरअंदाज करना चाहिए,#VALUE!
62,saying muslimes are people is like saying taylor swift has talent she does not and they are not,6860,saying muslimes are people is like saying taylor swift has talent she does not and they are not,train,मुस्लिम्स कहना लोग कहते हैं कि टेलर स्विफ्ट के पास प्रतिभा है जो वह नहीं करती है और वे नहीं हैं,मुस्लिम्स कहना लोग कहते हैं कि टेलर स्विफ्ट के पास प्रतिभा है जो वह नहीं करती है और वे नहीं हैं
63,give me a fucking break as if there is something to debate here blacks are inferior to whites and asians by every measure that why black communities are an absolute mess if you believe in evolution you have to accept equality is a myth,1167,blacks are inferior to whites and asians by every measure that why black communities are an absolute mess if you believe in evolution you have to accept equality is a myth,train,मुझे एक कमबख्त ब्रेक दें जैसे कि बहस करने के लिए कुछ है यहां अश्वेत हर उपाय से गोरों और एशियाई लोगों से हीन हैं कि क्यों अश्वेत समुदाय एक पूर्ण गड़बड़ हैं यदि आप विकास में विश्वास करते हैं तो आपको समानता को स्वीकार करना होगा एक मिथक है,अश्वेत हर उपाय से गोरे और एशियाई लोगों से हीन हैं कि क्यों अश्वेत समुदाय एक पूर्ण गड़बड़ हैं यदि आप विकास में विश्वास करते हैं तो आपको समानता को स्वीकार करना होगा एक मिथक है
64,sheriff ed galt you know something amigo i think i just spotted a chink in your armor when you go down it going be over a skirt watching last man standing,9486,chink,train,शेरिफ एड गैल्ट आपको कुछ पता है कि मुझे लगता है कि मैं सिर्फ आपके कवच में एक झंकार करता हूं जब आप नीचे जाते हैं तो यह एक स्कर्ट के ऊपर जा रहा है,चिंक
65,mark dice is such a stupid nigger,15160,nigger,train,मार्क पासा एक ऐसी बेवकूफ निगर है,चाकलेट का रंग
66,<user> 💀 bitch like my tweet so i can compliment you,9984,,train,<उपयोगकर्ता> 💀 मेरे ट्वीट की तरह कुतिया तो मैं आपकी तारीफ कर सकता हूं,#VALUE!
67,<user> <user> no one inayah a retarded faggot rather have porridge that the reason u numpty you are big gay,12134,a retarded faggot numpty gay,train,"<user> <उपयोगकर्ता> कोई भी inayah एक मंदबुद्धि फागोट नहीं है, बल्कि दलिया है कि आप बड़े समलैंगिक हैं।",एक मंदबुद्धि फागोट numpty गे
68,how low will the media rabble go to defame everything wholesome how about depicting santa as a gay mudshark destroying children love of christmas everywhere stephan colberts writer daniel kibblesmith penned this new christmas book maga <user> <user>,5984,gay mudshark,train,"मीडिया रब्बल ने सब कुछ कितना कम कर दिया है, कैसे सांता को एक समलैंगिक मडशार्क के रूप में चित्रित करने के बारे में एक समलैंगिक मडशार्क के रूप में चित्रित किया गया है, जो बच्चों को क्रिसमस के प्यार को नष्ट कर रहा है, हर जगह स्टीफ़न कोलबर्स के लेखक डैनियल किबल्समिथ ने इस नई क्रिसमस बुक मागा <उपयोगकर्ता> <उपयोगकर्ता> को लिखा है",गे मडशार्क
69,should have known it is a fucking kike jew scum bag getting this ticket off,13038,fucking kike jew scum,train,यह पता होना चाहिए,कमबख्त kike यहूदी मैल
70,<user> it a traditional lutheran church serving estonian immigrants in southern california since <number>,14947,,train,<उपयोगकर्ता> यह एक पारंपरिक लूथरन चर्च है जो दक्षिणी कैलिफोर्निया में एस्टोनियाई प्रवासियों की सेवा करता है,#VALUE!
